"KO1_EC_C" "KO1_EC_B" "KO1_EC_A" "KO2_EC_C" "KO2_EC_B" "PBS_EC_A" "PBS_EC_B" "PBS_EC_C" "WT_EC_A" "WT_EC_B"
"11287" 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.3123626674065 13.2983328104731 13.2814286544236 13.4207578599715 13.2814286544236
"11298" 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236
"11302" 13.716076341611 13.7813983259321 13.7917620164124 13.7373752582843 13.6264470897145 13.7327440652262 13.5879316293264 13.6646858388879 13.3897435740989 13.3003896420159
"11303" 13.8222501662723 13.8503718077398 13.9062429852857 13.8782730730294 14.0734435826086 14.1327122761656 13.9532736371023 14.2443121004142 14.2724257743706 13.9199818716139
"11304" 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236
"11305" 13.4419354312407 13.5175532405223 13.3254867258455 13.5515802630872 13.2814286544236 13.6376461675705 13.6134113774773 13.3555982275086 13.5903641227407 13.6259537474996
"11306" 13.3744684447677 13.672863131368 13.3577185556344 13.7346496984422 13.5955932586532 13.6205777878818 13.6751081329826 13.6318389918149 13.8180583595196 13.423177286556
"11307" 13.6857279637095 13.8006784266614 13.8275797439289 13.6720201503234 13.6402694409163 13.7680717455822 13.8138561011248 13.8181337492305 13.5241616131828 13.8343980918492
"11308" 13.6407105216033 13.8392702721579 13.8755447475887 13.7984633186057 14.0437292979252 13.7861293740688 13.8176346107343 13.8321128872806 13.5722913419486 13.9026890216308
"11350" 13.8608084207089 13.809829772361 13.8558786314635 13.9013916420222 13.8934113527908 13.8787490071072 13.818082372595 13.8874199074959 14.1198704520877 13.6662456065226
"11352" 13.3280513164846 13.6765022981081 13.4742760301632 13.7551994350386 13.5180096073663 13.6156904888097 13.7234514287322 13.6158313854852 13.6119586548473 13.5546712109579
"11354" 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236
"11363" 14.5697079711566 14.5451752358138 14.6315025843544 14.7639593003439 14.475156766999 14.5530215803192 14.5951450769195 14.6013799873209 14.5036984215625 14.3725669822682
"11364" 13.7955480736062 13.8351936815817 13.5814203817422 13.8051097292842 13.7091153589753 13.7538237139083 13.8435979853724 13.844729175961 13.7839981355345 13.9547662297765
"11370" 14.424788055752 14.2488032219745 14.2405987761976 14.2971056925197 14.530513224139 14.2279929975092 14.3459708669638 14.1583436421001 14.397804971875 14.3287313289958
"11409" 13.7033251779369 13.5622950770479 13.6216505512073 13.5923051945886 13.5584195148261 13.5205905254373 13.5407342972843 13.5849131205437 13.3389523881043 13.6813007590224
"11416" 13.8296449583511 13.7191215720894 14.0410769277182 13.5955783832944 13.6969467607065 13.6925285435201 13.6906812171951 13.6311960742675 13.6967598686842 13.7299286687705
"11418" 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.3292436656193 13.2814286544236 13.2814286544236 13.2814286544236
