"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"11287",4.93108557745154,4.89405578883552,8.39429699216855,1.10720524343215,0.992908979429503,NA
"11298",0.145028030762308,2.07784905174385,8.47541545300112,0.56336349517494,0.999179811566833,NA
"11302",301.897566689699,-1.7521233902149,3.97428776114987,18.5032395466705,0.00989447933968164,0.0416473941601435
"11303",2656.50483843477,-0.0153331793684453,1.55325302891676,2.0392033336143,0.957638693419973,0.999993839057556
"11304",0,NA,NA,NA,NA,NA
"11305",421.043733963944,-0.693422539368239,3.01114933710109,1.64339822055643,0.976926193220314,0.999993839057556
"11306",602.58525278207,1.13063030241375,1.58481931850946,3.68759743199882,0.814974425207986,0.999993839057556
"11307",1633.24199488873,-0.28814327396855,0.894116205873577,21.6181901190834,0.00295522765426444,0.0143745011538314
"11308",1608.29875272801,-0.544653734272856,0.776839594376916,3.08674307852431,0.876863463776055,0.999993839057556
"11350",1438.07565082322,0.346537611645223,0.687454359566342,5.01675815820482,0.657918048128619,0.999993839057556
"11352",677.004305816463,-1.03496718653832,1.23145367974323,4.91737705557256,0.670045502825487,0.999993839057556
"11354",0,NA,NA,NA,NA,NA
"11363",8265.22025610752,-0.790875568963947,0.293631620257141,17.2303039329463,0.0159699969222216,0.063148154810467
"11364",1280.82882401522,0.847924387339859,0.620943163128824,9.68344738722084,0.207233069120859,0.505170705260175
"11370",5133.20754583997,-0.478147165059429,0.49261331614024,3.9759984769791,0.782537736991759,0.999993839057556
"11409",601.847410733272,0.287078378505105,1.40574194135873,6.78381055000364,0.451731359436797,0.851181091079093
"11416",1007.77219888354,2.18859855146248,0.936558818079378,9.84242863677906,0.197680147693679,0.489135039299467
"11418",0.443770681467779,0.227816881738734,8.49301798900834,1.02837758199781,0.994357685230257,NA
"11419",0,NA,NA,NA,NA,NA
"11421",260.393511010677,1.99369066543048,4.25271337826293,24.3144318133702,0.00100303001708881,0.0054419346060658
"11423",55.6387466363484,-22.2852870561384,5.16958453938066,4.32819920670272,0.741293871427512,0.999993839057556
"11425",0,NA,NA,NA,NA,NA
"11426",579.829809901838,2.63196171347175,2.87189735231038,2.95742276571173,0.888912827102751,0.999993839057556
"11428",2482.7474496251,0.814476810954294,1.41137616215459,5.83709431221132,0.55889478661249,0.957140735690296
"11429",9989.28590815785,0.164895323878209,0.340710509762575,40.1266238697407,1.19045920027547e-06,1.09310532106927e-05
"11430",5853.24693698715,0.0476380214110677,0.568712741872263,90.4772019198165,9.87288667695258e-17,2.14816280408029e-15
"11431",1725.89856036327,0.797652530457075,0.631157152413847,4.87218974058055,0.675557087425329,0.999993839057556
"11432",1040.71799503519,0.426872502300206,2.42960658012738,6.54605211220371,0.477621289184974,0.879046457436421
"11433",345.544679288468,0.144223870562971,2.63866333048879,19.3993003838017,0.00702435190606614,0.030887534140531
"11434",0.904737195503337,0.227868598577432,8.49301798891657,2.20258848895569,0.94778186474443,NA
"11435",110.495558105342,1.07307095580549,0.715341150526675,54.9551912392279,1.52169770565305e-09,1.88129025474163e-08
