refseq_mrna,entrezgene,uniprot_gn,external_gene_name
1,NM_001001130,22746,Q7TMC9,Zfp85
2,NM_001001144,235623,Q6GQT6,Scap
3,NM_001001152,238690,Q7M6X6,Zfp458
4,NM_001001152,238690,Q6P5C7,Zfp458
5,NM_001001160,330369,Q6NS60,Fbxo41
6,NM_001001160,330369,Q3UGY7,Fbxo41
7,NM_001001176,407786,Q6NZA9,Taf9b
8,NM_001001177,407788,A2CG24,BC051142
9,NM_001001177,407788,A2CG25,BC051142
10,NM_001001177,407788,A6X8K8,BC051142
11,NM_001001177,407788,Q80XD0,BC051142
12,NM_001001177,407788,Q3V0M8,BC051142
13,NM_001001177,407788,A6X8K9,BC051142
14,NM_001001178,227933,Q6P5U8,Ccdc148
15,NM_001001179,232400,Q3UU35,A2ml1
16,NM_001001180,407812,Q3URY5,Zfp941
17,NM_001001180,407812,Q6NV92,Zfp941
18,NM_001001181,407819,,BC031181
19,NM_001001182,407823,,Baz2b
20,NM_001001183,407831,Q7TQI0,Tmem204
21,NM_001001184,408022,Q6P1E7,Primpol
22,NM_001001185,408058,Q80ZS7,BC048507
23,NM_001001186,408065,B2RUK9,Zfp456
24,NM_001001187,408068,Q8BPD8,Zfp738
25,NM_001001295,213550,Q8C0S1,Dis3l
26,NM_001001297,208967,Q149D1,Thnsl1
27,NM_001001297,208967,Q8BH55,Thnsl1
28,NM_001001309,241226,A2ARA8,Itga8
29,NM_001001319,347710,Q3ULC4,Pramel4
30,NM_001001319,347710,Q810Z0,Pramel4
31,NM_001001320,109575,Q810F8,Tbx10
32,NM_001001321,70484,Q3KNM7,Slc35d2
33,NM_001001322,279028,Q769J6,Adamts13
34,NM_001001326,76954,Q924W7,St5
35,NM_001001327,69568,Q0VGU5,Vkorc1l1
36,NM_001001327,69568,Q6TEK5,Vkorc1l1
37,NM_001001332,100038854,,BC117090
38,NM_001001333,238023,Q3U4H6,Hexdc
39,NM_001001334,381350,Q3V0U9,Spag6
40,NM_001001335,231999,Q80W71,Plekha8
41,NM_001001444,75400,Q8BGW9,Defb29
42,NM_001001444,75400,A3KGR0,Defb29
43,NM_001001445,193034,Q704Y3,Trpv1
44,NM_001001446,226143,,Cyp2c23
45,NM_001001447,232878,Q8BGS5,Zscan22
46,NM_001001447,232878,Q3TQC3,Zscan22
47,NM_001001449,380878,O70618,AF067063
48,NM_001001450,387132,Q80ZT4,Ssxb2
49,NM_001001450,387132,Q8C5Z3,Ssxb2
50,NM_001001451,387513,Q7TQA6,Tas2r138
51,NM_001001452,387514,Q7TQB9,Tas2r143
52,NM_001001453,387515,Q7TQB8,Tas2r144
53,NM_001001454,57776,Q9D3A9,Ttyh1
54,NM_001001488,54670,Q148W0,Atp8b1
55,NM_001001489,215928,Q3TN71,Mfsd4b5
56,NM_001001489,215928,Q8C3P4,Mfsd4b5
57,NM_001001490,239283,Q6IYF8,Oxgr1
58,NM_001001491,326618,Q6IRU2,Tpm4
59,NM_001001492,385668,,Lca5l
60,NM_001001493,414077,Q6ZWX0,Wdr83os
61,NM_001001495,414084,Q3SXA6,Tnip3
62,NM_001001496,414089,Q6S5G4,Gja6
63,NM_001001559,384701,G5E8G2,Usp17ld
64,NM_001001565,74241,Q6IQX7,Chpf
65,NM_001001566,74241,Q6IQX7,Chpf
66,NM_001001602,69601,Q3UHC7,Dab2ip
67,NM_001001650,368202,Q14B25,Prss48
68,NM_001001714,227631,Q6IUP1,Sohlh1
69,NM_001001735,234135,,Nsd3
70,NM_001001737,414758,Q8BL88,Zfp950
71,NM_001001737,414758,O88244,Zfp950
72,NM_001001737,414758,Q8C118,Zfp950
73,NM_001001738,414801,Q3TNL8,Cfap43
74,NM_001001738,100048534,Q3TNL8,Cfap43
75,NM_001001792,22685,P24399,Zfp239
76,NM_001001796,107751,Q8BYH0,Prrxl1
77,NM_001001796,107751,B7ZW86,Prrxl1
78,NM_001001798,320940,Q9QZW0,Atp11c
79,NM_001001803,408198,,Spink7
80,NM_001001804,384214,Q6IE26,Ephx4
81,NM_001001805,258248,,Olfr576
82,NM_001001806,12193,P23949,Zfp36l2
83,NM_001001807,258502,Q8VFD8,Olfr279
84,NM_001001808,258420,B2RVX8,Olfr221
85,NM_001001809,258880,E9PWV2,Olfr218
86,NM_001001810,258896,,Olfr1206
87,NM_001001880,68481,A0A0R4J0V2,Mpzl1
88,NM_001001880,68481,Q3TEW6,Mpzl1
89,NM_001001881,72190,,2510009E07Rik
90,NM_001001882,269400,Q0VGM9,Rtel1
91,NM_001001883,329152,A3KPB7,Hecw2
92,NM_001001883,329152,Q6I6G8,Hecw2
93,NM_001001884,380969,Q6GQX2,Nckap5l
94,NM_001001885,381199,Q6GQT5,Tmem151a
95,NM_001001892,14972,Q3TH01,H2-K1
96,NM_001001892,14972,P01901,H2-K1
97,NM_001001892,14972,Q7JJ15,H2-K1
98,NM_001001932,216238,Q8BL66,Eea1
99,NM_001001979,70417,Q6DIB5,Megf10
100,NM_001001980,77569,Q3UH68,Limch1
101,NM_001001981,195434,,Utp14b
102,NM_001001982,214239,,A430105I19Rik
103,NM_001001983,224020,,Pi4ka
104,NM_001001984,225876,F6YRW4,Kdm2a
105,NM_001001985,269642,,Nat8l
106,NM_001001986,329540,Q3UH85,Nol4l
107,NM_001001986,329540,Q3TZG8,Nol4l
108,NM_001001999,14724,P56400,Gp1bb
109,NM_001001999,14724,B2RR03,Gp1bb
110,NM_001002004,72503,Q5SYL3,2610507B11Rik
111,NM_001002005,406218,Q6IMP4,Panx2
112,NM_001002008,381066,Q6DFU8,Zfp948
113,NM_001002011,16905,P48678,Lmna
114,NM_001002012,15512,P17156,Hspa2
115,NM_001002238,83561,Q99MV1,Tdrd1
116,NM_001002239,319195,Q6ZWZ7,Rpl17
117,NM_001002240,83561,Q99MV1,Tdrd1
118,NM_001002241,83561,Q99MV1,Tdrd1
119,NM_001002267,72309,B2RTM1,Tmem158
120,NM_001002268,215798,Q6F3F9,Adgrg6
121,NM_001002272,56191,Q6DIC6,Tro
122,NM_001002764,103677,P61406,Smg6
123,NM_001002786,442827,Q8CB87,Rab44
124,NM_001002787,442829,Q8CDE2,Ccin
125,NM_001002787,442829,B2RX51,Ccin
126,NM_001002791,442835,Q8BVC1,Defb22
127,NM_001002842,378460,Q6BCL1,Pram1
128,NM_001002846,30843,Q9EPX5,Fbxl12
129,NM_001002846,30843,D3YWZ8,Fbxl12
130,NM_001002846,30843,A0A0R4J1W2,Fbxl12
131,NM_001002846,30843,A0A0R4J1Q8,Fbxl12
132,NM_001002894,76858,Q6B966,Nlrp14
133,NM_001002894,76858,A0A0N4SW95,Nlrp14
134,NM_001002895,106672,Q3V2N7,AI413582
135,NM_001002896,107993,Q6NVD9,Bfsp2
